,MCT_CAT_CD,DONG_CD,STD_DD,USE_CNT,USE_AMT
0,11,노고산동,2017-01-01,0.22761974462574275,0.3517956789991121
1,11,노고산동,2017-02-01,0.3710690417542557,0.47571007618472594
2,11,노고산동,2017-03-01,0.9874790757039389,0.7085364853293209
3,11,노고산동,2017-04-01,0.017594645609044113,0.0070289159595650075
4,11,노고산동,2017-05-01,0.7071653099960007,0.15272013087308212
5,11,노고산동,2017-06-01,0.8527261407231959,0.0656964379333752
6,11,노고산동,2017-07-01,0.38311110070064436,0.7411220937829064
7,11,노고산동,2017-08-01,0.42426852737069365,0.2431864209762007
8,11,노고산동,2017-09-01,0.9722281641755262,0.8841079312504074
9,11,노고산동,2017-10-01,0.4916042989796524,0.5214726018179242
10,11,노고산동,2017-11-01,0.2711299008629612,0.3673930023507497
11,11,노고산동,2017-12-01,0.5033903407973086,0.913244934035481
12,11,노고산동,2018-01-01,0.09843161117194688,0.8905492703853435
13,11,노고산동,2018-02-01,0.33824119373100947,0.8270000473888073
14,11,노고산동,2018-03-01,0.6577803825956288,0.9701787144525515
15,11,노고산동,2018-04-01,0.33729773886559533,0.14700172804215728
16,11,노고산동,2018-05-01,0.6346076489090219,0.46441204768788247
17,11,노고산동,2018-06-01,0.3462691061813564,0.2672438161755646
18,11,노고산동,2018-07-01,0.8354340388973468,0.0870330654059347
19,11,노고산동,2018-08-01,0.5454599971183017,0.7331976409195339
20,11,노고산동,2018-09-01,0.7622448008363465,0.387937560116717
21,11,노고산동,2018-10-01,0.8691478655934469,0.29177842339350946
22,11,노고산동,2018-11-01,0.46729823268882464,0.21457013287621252
23,11,노고산동,2018-12-01,0.4607261992084606,0.7985654091215602
24,11,대현동,2017-01-01,0.4001127581377707,0.8734755235777666
25,11,대현동,2017-02-01,0.9841890786745304,0.8489127678003047
26,11,대현동,2017-03-01,0.6164157706304682,0.2771533376462434
27,11,대현동,2017-04-01,0.37649332550675263,0.1839137276372932
28,11,대현동,2017-05-01,0.8823318964932462,0.14722615447060317
29,11,대현동,2017-06-01,0.2892492910704063,0.9600966327420463
30,11,대현동,2017-07-01,0.5633266187763603,0.02023919905934235
31,11,대현동,2017-08-01,0.05336841075965759,0.4514597901010783
32,11,대현동,2017-09-01,0.057032684747157614,0.7838408894776627
33,11,대현동,2017-10-01,0.42693918864293334,0.20835387441458375
34,11,대현동,2017-11-01,0.9366211984299653,0.3128738463685722
35,11,대현동,2017-12-01,0.44756250167300216,0.0521547962991441
36,11,대현동,2018-01-01,0.9041259343260863,0.41191986361378663
37,11,대현동,2018-02-01,0.9869272852248512,0.49437445937677615
38,11,대현동,2018-03-01,0.6620399171824597,0.6824859099297212
39,11,대현동,2018-04-01,0.9256757626071069,0.9527138595268704
40,11,대현동,2018-05-01,0.6733049530883031,0.5820077502716684
41,11,대현동,2018-06-01,0.13952222864133423,0.8592763402455305
42,11,대현동,2018-07-01,0.3822060727083729,0.961321884212609
43,11,대현동,2018-08-01,0.07423016817990225,0.5914042193763351
44,11,대현동,2018-09-01,0.14030907682725657,0.7480963666534962
45,11,대현동,2018-10-01,0.5853727471574659,0.26421157708701537
46,11,대현동,2018-11-01,0.4289624375152884,0.9845299089904376
47,11,대현동,2018-12-01,0.4600674254937006,0.7903679404539365
48,11,동교동,2017-01-01,0.6644974049822185,0.30342670703567565
49,11,동교동,2017-02-01,0.24595543580908352,0.6138120060912061
50,11,동교동,2017-03-01,0.5273763996596069,0.09122499819344976
51,11,동교동,2017-04-01,0.4977605482688896,0.38508125374958857
52,11,동교동,2017-05-01,0.12338637351753123,0.0839190778730724
53,11,동교동,2017-06-01,0.5445546762684698,0.45982225772519425
54,11,동교동,2017-07-01,0.36670012880300884,0.6114624540311014
55,11,동교동,2017-08-01,0.03457527180621478,0.8797151131320338
56,11,동교동,2017-09-01,0.2764844079339781,0.16945314317096927
57,11,동교동,2017-10-01,0.21242304689309044,0.9718805531241274
58,11,동교동,2017-11-01,0.35614388104410577,0.6825169388656693
59,11,동교동,2017-12-01,0.45476696753888635,0.20013253059226876
60,11,동교동,2018-01-01,0.9439562303453908,0.4492486593975782
61,11,동교동,2018-02-01,0.9909706173151018,0.17498971462791846
62,11,동교동,2018-03-01,0.8244294316798116,0.039299453561705944
63,11,동교동,2018-04-01,0.6348438189454687,0.8999315151149214
64,11,동교동,2018-05-01,0.6737770547953112,0.45288759757169106
65,11,동교동,2018-06-01,0.7119264407633243,0.11870216475213069
66,11,동교동,2018-07-01,0.26973933912386383,0.9309602770185016
67,11,동교동,2018-08-01,0.23618221938894535,0.6560067187869881
68,11,동교동,2018-09-01,0.27278599762471245,0.08632466428482799
69,11,동교동,2018-10-01,0.35943491859360666,0.04102486451161891
70,11,동교동,2018-11-01,0.6978236980807934,0.5102073009536049
71,11,동교동,2018-12-01,0.764867390402111,0.7621813626186332
72,11,망원동,2017-01-01,0.004550985405952446,0.5471812590234879
73,11,망원동,2017-02-01,0.3226362097663167,0.9927389186962201
74,11,망원동,2017-03-01,0.6125670192688079,0.8004063421417719
75,11,망원동,2017-04-01,0.43859459133843604,0.9243985811915096
76,11,망원동,2017-05-01,0.12724216625379392,0.3586636455174469
77,11,망원동,2017-06-01,0.06462598300579259,0.7128276144283321
78,11,망원동,2017-07-01,0.9612421764588606,0.6902115496753888
79,11,망원동,2017-08-01,0.44721249030627164,0.2174650262645521
80,11,망원동,2017-09-01,0.2897186448470864,0.1470999864125757
81,11,망원동,2017-10-01,0.30871608165825104,0.2648908783961734
82,11,망원동,2017-11-01,0.8930091118516026,0.5339660125550111
83,11,망원동,2017-12-01,0.4960868684665818,0.3255967006382453
84,11,망원동,2018-01-01,0.907767173972398,0.8065892581483685
85,11,망원동,2018-02-01,0.40830006608542113,0.370506633562667
86,11,망원동,2018-03-01,0.9908624103099711,0.5322317668129113
87,11,망원동,2018-04-01,0.2535089758207486,0.2305660633577553
88,11,망원동,2018-05-01,0.5962500956102664,0.12042254216290915
89,11,망원동,2018-06-01,0.5633792575535194,0.956952733278547
90,11,망원동,2018-07-01,0.8667862313422368,0.37848539103017664
91,11,망원동,2018-08-01,0.2120305656847261,0.27957139685170107
92,11,망원동,2018-09-01,0.7336200305875732,0.7970055840470059
93,11,망원동,2018-10-01,0.26066453981203175,0.8451724757741145
94,11,망원동,2018-11-01,0.5441285529527001,0.37866854575578
95,11,망원동,2018-12-01,0.7759558423524988,0.5561590270758889
96,11,상수동,2017-01-01,0.788930311113721,0.206256053682916
97,11,상수동,2017-02-01,0.6045724558633967,0.5819285849767625
98,11,상수동,2017-03-01,0.9543905626733007,0.06902106158894383
99,11,상수동,2017-04-01,0.2953641479393464,0.7586335482846046
100,11,상수동,2017-05-01,0.5135441637604216,0.49781915489240913
101,11,상수동,2017-06-01,0.08952063996200443,0.5109150480287132
102,11,상수동,2017-07-01,0.16719506963946973,0.8871078571734844
103,11,상수동,2017-08-01,0.861516464890651,0.39479224440521965
104,11,상수동,2017-09-01,0.7188330423210252,0.6645040557647465
105,11,상수동,2017-10-01,0.34884394644715,0.5756451412941296
106,11,상수동,2017-11-01,0.8914029411987927,0.23880459555162636
107,11,상수동,2017-12-01,0.4274247385975023,0.582378386864429
108,11,상수동,2018-01-01,0.9047900718544085,0.26113470275610784
109,11,상수동,2018-02-01,0.18257906238291155,0.7735388317824333
110,11,상수동,2018-03-01,0.09263087537584813,0.7754509004107664
